,,,,,,,,,
,Benchmark,Initial Fmax (MHz),Best Fmax (MHz),Improvement (MHz),Improvement (%),Runtime (seconds),Total LLM Cost (USD),Status,Score
,amd_mini-isp_2025.1,"307,13","404,20","97,07","24,02%","832,45","0,0230",PASS,"94,602"
,boom_soc_2025.1,"48,24","50,74","2,50","4,93%","3600,11","0,0087",PASS,"2,248"
,corescore_500_mod_2025.1,"344,23",,,,"169,00",,FAIL,"0,000"
,finn_radioml_2025.1,"284,90","296,30","11,40","3,85%","1939,20","0,0135",PASS,"10,771"
,ispd16_example2_2025.1,"107,64",,,,"320,00",,FAIL,"0,000"
,logicnets_jscl_2025.1,"403,55","480,08","76,53","15,94%","1831,89","0,0161",PASS,"72,512"
,rosetta_3d-rendering_2025.1,"270,93","276,78","5,85","2,11%","1989,98","0,0214",PASS,"5,514"
,rosetta_digit-recognition_2025.1,"366,97","419,11","52,14","12,44%","2172,84","0,0161",PASS,"48,909"
,rosetta_optical-flow_2025.1,"324,89","325,31","0,42","0,13%","1055,43","0,0104",PASS,"0,407"
,rosetta_spam-filter_2025.1,"437,45","454,34","16,89","3,72%","1974,28","0,0165",PASS,"15,936"
,vexriscv_re-place_2025.1,"310,17","455,37","145,20","31,89%","1237,05","0,0128",PASS,"140,025"
,vtr_mcml_2025.1,"62,25","66,61","4,36","6,55%","1963,97","0,0153",PASS,"4,115"
,,,,,,,,,"32,920"
