,,,,,,,,,
,Benchmark,Initial Fmax (MHz),Best Fmax (MHz),Improvement (MHz),Improvement (%),Runtime (seconds),Total LLM Cost (USD),Status,Score
,amd_mini-isp_2025.1,"307,13","363,11","55,98","15,42%",256,"0,0088",PASS,"55,533"
,boom_soc_2025.1,"48,24","53,99","5,75","10,65%",3605,"0,0045",TIMEOUT,"5,172"
,corescore_500_mod_2025.1,"344,23","344,23",0,"0,00%",754,"0,0053",PASS,"0,000"
,finn_radioml_2025.1,"284,9","284,9",0,"0,00%",515,"0,0020",PASS,"0,000"
,ispd16_example2_2025.1,"107,64","405,84","298,2","73,48%",1414,"0,0045",PASS,"286,353"
,logicnets_jscl_2025.1,"403,55","403,55",0,"0,00%",224,"0,0019",PASS,"0,000"
,rosetta_3d-rendering_2025.1,"270,93","270,93",0,"0,00%",289,"0,0022",PASS,"0,000"
,rosetta_digit-recognition_2025.1,"366,97","596,66","229,69","38,50%",149,"0,0021",PASS,"228,691"
,rosetta_optical-flow_2025.1,"324,89","325,31","0,42","0,13%",316,"0,0060",PASS,"0,416"
,rosetta_spam-filter_2025.1,"437,45","437,45",0,"0,00%",161,"0,0028",PASS,"0,000"
,vexriscv_re-place_2025.1,"310,17","310,17",0,"0,00%",153,"0,0015",PASS,"0,000"
,vtr_mcml_2025.1,"62,25","62,25",0,"0,00%",560,"0,0021",PASS,"0,000"
,,,,,,,,,"48,014"
