,,,,,,,,,
,Benchmark,Initial Fmax (MHz),Best Fmax (MHz),Improvement (MHz),Improvement (%),Runtime (seconds),Total LLM Cost (USD),Status,Score
,amd_mini-isp_2025.1,"307,13","404,2","97,07","24,02%",511,"0,0055",PASS,"95,639"
,boom_soc_2025.1,"48,24","51,68","3,44","6,66%",1697,"0,0027",PASS,"3,277"
,corescore_500_mod_2025.1,"344,23","344,23",0,"0,00%",770,"0,0027",PASS,"0,000"
,finn_radioml_2025.1,"284,9","284,9",0,"0,00%",507,"0,0028",PASS,"0,000"
,ispd16_example2_2025.1,"107,64","121,57","13,93","11,46%",1956,"0,0027",PASS,"13,169"
,logicnets_jscl_2025.1,"403,55","473,04","69,49","14,69%",1071,"0,0062",PASS,"67,380"
,rosetta_3d-rendering_2025.1,"270,93","270,93",0,"0,00%",896,"0,0030",PASS,"0,000"
,rosetta_digit-recognition_2025.1,"366,97","414,08","47,11","11,38%",1087,"0,0028",PASS,"45,674"
,rosetta_optical-flow_2025.1,"324,89","325,31","0,42","0,13%",283,"0,0079",PASS,"0,416"
,rosetta_spam-filter_2025.1,"437,45","447,63","10,18","2,27%",921,"0,0032",PASS,"9,916"
,vexriscv_re-place_2025.1,"310,17","455,37","145,2","31,89%",507,"0,0043",PASS,"143,093"
,vtr_mcml_2025.1,"62,25","62,25",0,"0,00%",589,"0,0029",PASS,"0,000"
,,,,,,,,,"31,547"
